id,city,date,player_of_match,venue,team1,team2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,umpire1,umpire2
259,Delhi,4/23/2011,DA Warner,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,Delhi Daredevils,29,0,S Asnani,RE Koertzen
257,Mumbai,4/22/2011,Harbhajan Singh,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,Mumbai Indians,8,0,Asad Rauf,AM Saheba
258,Kolkata,4/22/2011,CH Gayle,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,9,SS Hazare,RB Tiffin
256,Chandigarh,4/21/2011,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,Kings XI Punjab,48,0,S Asnani,PR Reiffel
254,Mumbai,4/20/2011,MM Patel,Wankhede Stadium,Pune Warriors,Mumbai Indians,Pune Warriors,bat,normal,Mumbai Indians,0,7,Asad Rauf,AM Saheba
255,Kolkata,4/20/2011,DPMD Jayawardene,Eden Gardens,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kochi Tuskers Kerala,6,0,Aleem Dar,RB Tiffin
253,Delhi,4/19/2011,S Sohal,Feroz Shah Kotla,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,Deccan Chargers,16,0,PR Reiffel,RJ Tucker
252,Kochi,4/18/2011,BB McCullum,Nehru Stadium,Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,Kochi Tuskers Kerala,0,7,K Hariharan,AL Hill
250,Mumbai,4/17/2011,Yuvraj Singh,Dr DY Patil Sports Academy,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,3,Asad Rauf,AM Saheba
251,Kolkata,4/17/2011,L Balaji,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,8,Aleem Dar,RB Tiffin
248,Chennai,4/16/2011,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,Chennai Super Kings,21,0,HDPK Dharmasena,AL Hill
249,Hyderabad,4/16/2011,PC Valthaty,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,8,RE Koertzen,S Ravi
246,Jaipur,4/15/2011,G Gambhir,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,9,Aleem Dar,SS Hazare
247,Mumbai,4/15/2011,BB McCullum,Wankhede Stadium,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,Kochi Tuskers Kerala,0,8,BR Doctrove,PR Reiffel
245,Hyderabad,4/14/2011,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Deccan Chargers,33,0,RE Koertzen,S Ravi
243,Chandigarh,4/13/2011,PC Valthaty,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,6,Asad Rauf,SL Shastri
244,Mumbai,4/13/2011,MD Mishra,Dr DY Patil Sports Academy,Kochi Tuskers Kerala,Pune Warriors,Kochi Tuskers Kerala,bat,normal,Pune Warriors,0,4,S Asnani,PR Reiffel
241,Jaipur,04-12-2011,SK Warne,Sawai Mansingh Stadium,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,Rajasthan Royals,0,6,Aleem Dar,RB Tiffin
242,Bangalore,04-12-2011,SR Tendulkar,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,9,HDPK Dharmasena,AL Hill
240,Kolkata,04-11-2011,JH Kallis,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,9,0,RE Koertzen,SK Tarapore
238,Delhi,04-10-2011,SL Malinga,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,normal,Mumbai Indians,0,8,AM Saheba,RB Tiffin
239,Mumbai,04-10-2011,SB Wagh,Dr DY Patil Sports Academy,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,normal,Pune Warriors,0,7,BR Doctrove,PR Reiffel
236,Hyderabad,04-09-2011,SK Trivedi,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,8,RE Koertzen,SK Tarapore
237,Kochi,04-09-2011,AB de Villiers,Nehru Stadium,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,normal,Royal Challengers Bangalore,0,6,HDPK Dharmasena,K Hariharan
235,Chennai,04-08-2011,S Anirudha,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,Chennai Super Kings,2,0,BR Doctrove,PR Reiffel
234,Mumbai,4/25/2010,SK Raina,Dr DY Patil Sports Academy,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,Chennai Super Kings,22,0,RE Koertzen,SJA Taufel
233,Mumbai,4/24/2010,A Kumble,Dr DY Patil Sports Academy,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,Royal Challengers Bangalore,0,9,RE Koertzen,SJA Taufel
232,Mumbai,4/22/2010,DE Bollinger,Dr DY Patil Sports Academy,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,Chennai Super Kings,38,0,BR Doctrove,RB Tiffin
